timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/04/16 00:22:06.189, Tesla PG503-216, 0 %, 0 %, 5 MiB, 36
2026/04/16 00:22:07.189, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:08.190, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:09.190, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:10.191, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:11.191, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:12.192, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:13.192, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:14.193, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:15.193, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:16.194, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:17.194, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:18.195, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:19.195, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:20.195, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:21.196, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:22.196, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:23.197, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:24.197, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:25.198, Tesla PG503-216, 0 %, 0 %, 5 MiB, 35
2026/04/16 00:22:26.198, Tesla PG503-216, 0 %, 0 %, 8 MiB, 35
2026/04/16 00:22:27.199, Tesla PG503-216, 0 %, 0 %, 8 MiB, 35
2026/04/16 00:22:28.199, Tesla PG503-216, 0 %, 0 %, 8 MiB, 35
2026/04/16 00:22:29.199, Tesla PG503-216, 0 %, 0 %, 8 MiB, 35
2026/04/16 00:22:30.200, Tesla PG503-216, 13 %, 1 %, 416 MiB, 36
2026/04/16 00:22:31.200, Tesla PG503-216, 5 %, 0 %, 662 MiB, 36
2026/04/16 00:22:32.201, Tesla PG503-216, 8 %, 0 %, 880 MiB, 36
2026/04/16 00:22:33.201, Tesla PG503-216, 10 %, 0 %, 1162 MiB, 36
2026/04/16 00:22:34.201, Tesla PG503-216, 41 %, 16 %, 3842 MiB, 38
2026/04/16 00:22:35.202, Tesla PG503-216, 22 %, 8 %, 3842 MiB, 39
2026/04/16 00:22:36.202, Tesla PG503-216, 38 %, 15 %, 3842 MiB, 39
2026/04/16 00:22:37.203, Tesla PG503-216, 38 %, 15 %, 4078 MiB, 38
2026/04/16 00:22:38.203, Tesla PG503-216, 33 %, 13 %, 4078 MiB, 40
